0	Is Creole a pidgin of French?
100	How old is the oldest pyramid?
1017	What is the fastest growing religion in USA?
1034	What is the tallest tower in the world?
1039	When was the car first invented?
1042	When was Madeleine Albright named Secretary of State?
105	Is Abi Branning still a character on EastEnders?
1055	What happens when the president and VP of the USA die?
1075	What is Tom Clancy's real name?
1076	Does Buddhism believe in Jesus?
1125	Who wrote The Concept of Anxiety: A Simple Psychologically Orienting Deliberation on the Dogmatic Issue of Hereditary Sin?
1126	When did Lin Biao become a Marshal of the People's Republic of China?
113	When did the Isle of Man Railway start running?
1145	When was Cipro introduced?
1176	Who invented the first machine gun?
1178	When was Scheherezade composed by Rimsky-Korsakov?
1190	When did Madonna release the song "Express Yourself"?
1201	Who founded the American Motors Corporation?
1213	What was the film Nausicaä of the Valley of the Wind adapted from?
1217	How big can a Eurasian eagle-owl get?
1242	When was the Silverstone Circuit built?
1249	Who is G.I. Joe's arch-nemesis?
1256	What flightless birds live in New Zealand?
1267	What was the Smoke Monster in Lost?
1271	Where was Jonathan Swift born?
1281	How many species are there in the shrike family?
1318	What does open world mean?
1330	What color is the smoke when a new pope is elected?
1335	When was special relativity discovered?
1357	Who designed the Sporthotel Pontresina?
1362	How many days is the orbit of Mars?
1363	When was Zylom Studios founded?
1369	Do UK House of Lords members get a salary?
1376	Did humans live during the Stone Age?
1378	What countries made up ancient Persia?
1379	When was the first Harry Potter movie released?
1406	At what time did the first plane hit the World Trade Center on September 11?
1414	When did Syngman Rhee become Head of State of the Provisional Government of the Republic of Korea?
1416	What is shell shock?
144	What is asbestos made of?
145	What language do they speak in Buenos Aires?
1453	How is trench foot contracted?
1474	How large is Lake Michigan?
1514	How high is Kahlenberg Mountain?
1516	Which race has the most people?
1520	Did the Chinese help build the railroads?
1556	Why is are clouds white?
1572	What character di Paz de la Huerta play in Enter the Void?
1584	When were Anatolian shepherds first bred?
1589	What is the origin of the name of the weather phenomenon El Nino?
1602	How many stars are in the constellation Musca?
1616	Who is mayor of Islip, NY?
1637	When was the food pyramid first introduced?
1640	How deep is Lake Victoria?
1670	When was Hans Georg Wenzeslaus von Knobelsdorff born?
1682	What was Reginald Aubrey Fessenden's first patented invention?
1689	How many episodes did King of the Hill have?
1695	Where was Le Corbusier born?
