10036600#0	¿Cómo se convirtió Egipto en musulmán?
10046635#0	¿Cuáles son las características de las piedras que las diferencian de las rocas?
10049214#0	¿A partir de qué peso se puede diagnosticar obesidad mórbida a una persona?
10063278#0	¿Por qué el cuerpo acumula reservas de grasa?
10123358#0	¿Qué significa el vocablo bereber en griego?
10127140#0	¿Cuál es la moneda de denominación más alta acuñada en Chile?
10150822#0	¿Cómo se pronuncia Massachusetts?
1036931#0	¿Cómo es la escena underground en Montreal?
1040690#0	¿Cuáles motivos llevaron tantos países a la Primera Guerra Mundial?
1042601#0	¿Cuál es la diferencia entre un rey, un regente y un emperador?
1050473#0	¿Cuándo ocurrió la Segunda Guerra Mundial?
106035#0	¿Cuál es el gentilicio de Creta?
1063455#0	¿En qué rituales las personas se presentan con flores?
1088930#0	¿Quién concibió la primera película de Transformers?
1102080#0	¿Cuál es la importancia del Matrimonio de Boston hoy?
1133288#0	¿Quién inventó los explosivos?
113426#0	¿Cuándo se dio la lucha por la reforma agraria en Cuba?
1259483#0	¿Cuándo votaron las mujeres por primera vez en el mundo?
1314964#0	¿En qué países están los Himalayas?
1319222#0	¿Cuáles son las funciones de los parlamentarios?
1323007#0	¿Cuál fue la primera película de terror que se filmó fuera de los Estados Unidos?
1338698#0	¿Cómo obtener la nacionalidad canadiense?
1341563#0	¿Cuántos tipos de identidad de género existen?
135633#0	¿Cómo se lee la letra "и" en el alfabeto cirílico?
1360576#0	¿Para qué sirve la sacristía de las iglesias?
1375485#0	¿Qué son y de que material están hechos los cuernos?
1414410#0	¿Cómo distinguir un corzo de un reno?
1433944#0	¿Qué región se entiende por Mesoamérica?
144942#0	¿Por qué Dios dice “Yo soy el Alfa y la Omega” en la Biblia?
146444#0	¿En qué países se desarrolló la ópera?
1475283#0	¿De dónde es el gimnasta Diego Hypólito?
14977#0	¿Quiénes son los dioses del Olimpo?
1509489#0	¿Cómo llaman los judíos al Pentateuco?
1535068#0	¿Por qué el cine indio no es tan conocido en Occidente?
1541044#0	¿Cómo preparar pulpo y no dejarlo gomoso?
154627#0	¿Cuándo llegaron los árabes a España?
1593357#0	¿Cómo se llama la famosa canción navideña de Mariah Carey?
1614364#0	¿Cuántos centros comerciales hay en la ciudad de Bogotá?
1635701#0	¿Para qué sirven los senos en el cuerpo humano?
16628#0	¿Para qué sirven los signos del zodiaco?
1710929#0	¿Quién fue Carmilla?
171472#0	¿Quién creó el personaje Kirby de Nintendo?
1721919#0	¿Cómo se conoce popularmente en México a Corynopuntia emoryi?
1747359#0	¿Dónde está el mar Jónico y cuál es el significado del nombre?
1747742#0	¿Cómo cuidar de un Echinocereus?
1783212#0	¿Qué monedas se mencionan en la Biblia?
1793663#0	¿Cuál es la diferencia entre estudiar física y matemáticas?
1812180#0	¿Cómo funcionan los aspersores?
1849528#0	¿Dónde se habla georgiano además de Georgia?
1851923#0	¿Por qué Luis XIV se consideraba a sí mismo el Estado?
1883968#0	¿Hasta qué año hubo esclavos en USA?
1974896#0	¿En qué provincia argentina se encuentra Rosario?
2037774#0	¿Cómo se llaman los presentadores de Queer Eye for the Straight Guy?
2042859#0	¿Cuál es la ruta de huracanes más crítica del mundo?
2133142#0	¿Por qué el inglés americano dice soccer y no football?
2196147#0	¿Quién descubrió la tumba del faraón Tutankamón?
2196412#0	¿Cuál es el mejor sistema de transporte publico América del Norte?
2286234#0	¿De qué país proviene la banda House of Pain?
2416873#0	¿Cuáles son los animales más comunes en la Patagonia argentina?
2417980#0	¿Cuántos premios ha recibido Mandy Moore por su música?
2473930#0	¿Qué era el Señorío de Cuzcatlán?
2485497#0	¿Cómo se combate a los piratas actuales?
2516231#0	¿Cuántos toneladas de cocaína incauta la policía brasileña cada año?
256983#0	¿Cuál es la calidad del vino de Jerez?
260471#0	¿Qué significa el término legal tutela?
271844#0	¿Qué países comparten la Antártida?
2774009#0	¿Qué países tienen la mayor incidencia de diabetes?
2780376#0	¿Cuánto tiempo se estima que tarda un hueso en deteriorarse?
2793268#0	¿Cuáles son los dioses del panteón romano?
2843098#0	¿Cuál es el animal omnívoro más grande?
