1004960#0	0	174163#10	0
1004960#0	0	179523#76	0
1004960#0	0	34782#7	0
1004960#0	0	432721#1	0
1004960#0	0	496800#30	0
1004960#0	0	53350#4	0
1004960#0	0	538245#7	0
1004960#0	0	555530#0	1
1004960#0	0	555530#1	0
1004960#0	0	69380#11	1
1006614#0	0	166718#0	0
1006614#0	0	3261#0	0
1006614#0	0	382718#0	0
1006614#0	0	639789#0	0
1006614#0	0	8907#0	0
1006614#0	0	8907#1	1
1006614#0	0	8907#21	1
1006614#0	0	8907#24	1
1006614#0	0	8907#26	1
1006614#0	0	8907#27	0
100764#0	0	10069#3	0
100764#0	0	10069#4	0
100764#0	0	247208#12	0
100764#0	0	247208#8	0
100764#0	0	247208#9	0
100764#0	0	30472#0	0
100764#0	0	30472#11	0
100764#0	0	30472#2	1
100764#0	0	30472#7	0
100764#0	0	652073#3	0
100978#0	0	1043834#0	0
100978#0	0	1048773#1	0
100978#0	0	1048773#2	0
100978#0	0	1179341#0	0
100978#0	0	1215670#0	0
100978#0	0	1303086#0	0
100978#0	0	1303086#1	0
100978#0	0	1303086#11	0
100978#0	0	1315731#0	0
100978#0	0	192907#0	1
1012378#0	0	1134711#0	0
1012378#0	0	1223484#0	1
1012378#0	0	171034#0	0
1012378#0	0	179414#3	0
1012378#0	0	217745#26	0
1012378#0	0	246936#14	0
1012378#0	0	511354#3	0
1012378#0	0	52879#13	0
1012378#0	0	653264#12	0
1012378#0	0	802544#4	0
101442#0	0	46630#37	0
101442#0	0	46630#38	0
101442#0	0	47695#2	0
101442#0	0	617024#2	0
101442#0	0	817121#0	1
101442#0	0	817121#15	1
101442#0	0	817121#20	1
101442#0	0	820#32	0
101442#0	0	832#0	0
101442#0	0	832#3	1
103353#0	0	1094364#0	0
103353#0	0	1094364#2	0
103353#0	0	1170317#0	0
103353#0	0	1209389#0	0
103353#0	0	1354105#0	0
103353#0	0	164146#0	1
103353#0	0	248766#0	0
103353#0	0	494998#1	0
103353#0	0	503842#0	0
103353#0	0	703830#0	0
1033752#0	0	192871#4	0
