1003	0	106540#26	0
1003	0	111769#0	0
1003	0	117755#0	0
1003	0	1390129#0	0
1003	0	1458#0	1
1003	0	1458#27	0
1003	0	1458#71	1
1003	0	1877356#1	1
1003	0	322208#0	0
1003	0	322480#0	0
1003	0	719605#0	0
1003	0	719708#7	0
1003	0	86222#2	0
1003	0	86240#0	1
1003	0	91080#0	0
1009	0	10185#23	0
1009	0	114236#3	0
1009	0	1409529#3	0
1009	0	181307#6	0
1009	0	181307#7	0
1009	0	181307#8	1
1009	0	219284#27	0
1009	0	2719#2	0
1009	0	2743#16	1
1009	0	2743#29	1
1009	0	500914#20	0
1009	0	518738#13	1
1010	0	1029921#0	1
1010	0	1623379#0	1
1010	0	1999641#0	0
1010	0	210702#1	0
1010	0	46272#0	1
1010	0	634499#0	1
1010	0	634502#0	0
1010	0	677798#0	1
1010	0	677803#0	1
1010	0	677810#0	1
1010	0	681621#1	0
1010	0	9173#0	1
1010	0	9173#18	0
1010	0	9173#23	0
1010	0	919354#0	1
1011	0	105326#1	0
1011	0	12670#1	0
1011	0	133417#0	0
1011	0	158411#1	0
1011	0	1734450#0	0
1011	0	1947666#0	0
1011	0	2044799#0	0
1011	0	206300#4	0
1011	0	288491#1	0
1011	0	292173#0	0
1011	0	315964#0	0
1011	0	426#4	1
1011	0	458595#28	0
1011	0	558048#0	0
1011	0	561449#0	0
1011	0	942275#0	0
1011	0	95661#0	0
1011	0	9868#0	0
1012	0	1041464#2	0
1012	0	1171298#4	0
1012	0	137872#0	0
1012	0	148804#0	0
1012	0	148804#1	0
1012	0	151502#28	0
1012	0	1925813#49	0
1012	0	193177#10	0
1012	0	327197#2	0
1012	0	40656#2	0
1012	0	6160#1	1
1012	0	6160#20	0
1012	0	620565#2	0
1012	0	74047#15	0
1012	0	752898#1	0
1019	0	104286#0	0
1019	0	104287#0	0
1019	0	139046#0	0
1019	0	175930#0	0
1019	0	175942#1	0
1019	0	176036#0	1
1019	0	1806498#0	0
1019	0	1856500#0	0
1019	0	1871467#0	0
1019	0	195167#0	0
1019	0	2377#0	0
1019	0	500441#0	0
1019	0	973944#0	0
1021	0	1146529#3	0
1021	0	12510#19	1
1021	0	12510#20	0
1021	0	12510#44	0
1021	0	1332251#4	0
1021	0	14680#57	0
1021	0	1942158#1	0
1021	0	21844#2	0
1021	0	325776#0	0
1021	0	325776#14	0
1021	0	325776#2	0
1021	0	40706#0	0
1021	0	40706#3	0
1021	0	747677#0	0
1033	0	1161939#0	0
1033	0	1240891#0	0
1033	0	181416#0	1
1033	0	186994#0	1
1033	0	187040#0	1
1033	0	31151#0	1
1033	0	35008#0	0
1033	0	382457#0	0
1033	0	383343#1	0
1033	0	383343#2	0
1033	0	500737#0	0
1033	0	65019#1	0
1033	0	65019#5	0
1033	0	653884#0	1
1033	0	709143#7	0
1033	0	9279#0	1
1044	0	122820#4	1
1044	0	2012076#1	0
1044	0	2012076#11	0
1044	0	2012076#12	0
1044	0	2012076#13	0
1044	0	2012076#16	0
1044	0	2012076#21	0
1044	0	2012076#23	0
1044	0	23391#5	0
1044	0	245354#7	0
1044	0	50761#0	0
